# wavelength (nm),transmission (I/F) 
8.000000000000000000e+02,0.000000000000000000e+00
8.000499999999999545e+02,0.000000000000000000e+00
8.000999999999999091e+02,0.000000000000000000e+00
8.001499999999998636e+02,0.000000000000000000e+00
8.001999999999998181e+02,0.000000000000000000e+00
8.002499999999997726e+02,0.000000000000000000e+00
8.002999999999997272e+02,0.000000000000000000e+00
8.003499999999996817e+02,0.000000000000000000e+00
8.003999999999996362e+02,0.000000000000000000e+00
8.004499999999995907e+02,0.000000000000000000e+00
8.004999999999995453e+02,0.000000000000000000e+00
8.005499999999994998e+02,0.000000000000000000e+00
8.005999999999994543e+02,0.000000000000000000e+00
8.006499999999994088e+02,0.000000000000000000e+00
8.006999999999993634e+02,0.000000000000000000e+00
8.007499999999993179e+02,0.000000000000000000e+00
8.007999999999992724e+02,0.000000000000000000e+00
8.008499999999992269e+02,0.000000000000000000e+00
8.008999999999991815e+02,0.000000000000000000e+00
8.009499999999991360e+02,0.000000000000000000e+00
8.009999999999990905e+02,0.000000000000000000e+00
8.010499999999990450e+02,0.000000000000000000e+00
8.010999999999989996e+02,0.000000000000000000e+00
8.011499999999989541e+02,0.000000000000000000e+00
8.011999999999989086e+02,0.000000000000000000e+00
8.012499999999988631e+02,0.000000000000000000e+00
8.012999999999988177e+02,0.000000000000000000e+00
8.013499999999987722e+02,0.000000000000000000e+00
8.013999999999987267e+02,0.000000000000000000e+00
8.014499999999986812e+02,0.000000000000000000e+00
8.014999999999986358e+02,0.000000000000000000e+00
8.015499999999985903e+02,0.000000000000000000e+00
8.015999999999985448e+02,0.000000000000000000e+00
8.016499999999984993e+02,0.000000000000000000e+00
8.016999999999984539e+02,0.000000000000000000e+00
8.017499999999984084e+02,0.000000000000000000e+00
8.017999999999983629e+02,0.000000000000000000e+00
8.018499999999983174e+02,0.000000000000000000e+00
8.018999999999982720e+02,0.000000000000000000e+00
8.019499999999982265e+02,0.000000000000000000e+00
8.019999999999981810e+02,0.000000000000000000e+00
8.020499999999981355e+02,0.000000000000000000e+00
8.020999999999980901e+02,0.000000000000000000e+00
8.021499999999980446e+02,0.000000000000000000e+00
8.021999999999979991e+02,0.000000000000000000e+00
8.022499999999979536e+02,0.000000000000000000e+00
8.022999999999979082e+02,0.000000000000000000e+00
8.023499999999978627e+02,0.000000000000000000e+00
